"id","sentence"
1,"bo zali ba ?"
2,"akhuing ajo shua gunz an dua gute shahar ka ajo shua shahar an dua"
3,"paqo sxhe"
4,"cchel mene"
5,"ja gamburi akkhosh"
6,"ja guliab gamburi akkhosh"
7,"ja cchella qaq amanamba"
8,"un guwarumba"
9,"un sxheli guwanumba"
10,"ne giraashumbai"
11,"ne girminchumbai"
12,"nae giraashumbai"
13,"nae girminchumbai"
14,"ayash gulabi isxhqam manumbi akhuing"
15,"paqo sxhe dan ayi sxhe"
16,"Le halles sena go bo doro dua"
17,"ja ka un neme te doro net cchuren"
18,"jaa acce bo bika gogga gucham"
19,"jaacce bo api"
20,"jaa acce bi"
21,"jaacce bi"
22,"ja sattik khela neyamam ajo maza diya jagga, ne nnyu halles ajo wali"
23,"ja gogga han baran siyama agar ggafa akuwayumba ka"
24,"un ajo gukhar thathall ayet bae ka"
25,"Javaayu 100 ggaring har jawaane etas dua le akhuyng shaam khasxh"
26,"Bess aye sxhe chhap she"
27,"ne sheghetan mull cce dis na darhkut bull cce dis"
28,"ge aye sheng naa"
29,"jaa acce thosxh mobile an bim"
30,"Ayar yatte dapherhkan nawall cxoqaa amana"
31,"tayillcc bathanan manisxh bulyainge baraan manisxh"
32,"Jawayu akhuyng shaam khasxh berum echa llayuman ka girminas dua te yate ja echam"
33,"ajo chhap api"
34,"mo mucxhan api"
35,"jaa acxhan api"
36,"vae ucxhan api"
37,"vae shaama paisa ayideemi"
38,"vae taene omoos ayideemi"
39,"vae thamene omoos ayideemi"
40,"vae te yarbullhtuk omoos ayideemi"
41,"vae yaarbullhtuk omoos ayideemi"
42,"vae gucxattinga omoos ayideemi"
43,"vae shaama omoos ayideemi"
44,"jimall ita gali"
45,"jimall yaara gali"
46,"jimall yatta gali"
47,"yaarbullhtuk khita gali"
48,"yaarbullhtuk ita gali"
49,"hepullhtuk yaara ccheraan"
50,"hepullhtuk yatta ccheraan"
51,"maatto khita ccheraan"
52,"maatto ita ccheraan"
53,"maatto yaara ccheremi"
54,"taene yaara gali"
55,"taene yatta nemi"
56,"saattik khita gali"
57,"saattik ita gali"
58,"gucxattinga ita nesxh"
59,"gucxattinga yaara nesxh"
60,"gucxattinga yatta nesxh"
61,"doggoiki khita xosxh"
62,"doggoiki ita xosxh"
63,"doggoiki yaara xosxh"
64,"shumshere yaara xosxh"
65,"shumshere dalla xosxh"
66,"adite khita gali"
67,"adite ita gali"
68,"te yaarbullhtuk yaara gallu"
69,"te yaarbullhtuk yatta gallu"
70,"hepullhtuk khita cchurumu"
71,"hepullhtuk ita cchurumu"
72,"chamarutto yaara cchurumu"
73,"chamarutto yatta cchurumu"
74,"thamene khita gallu"
75,"thamene ita gallu"
76,"hepullhtuk yatta walimi"
77,"hepullhtuk yatta walchimi"
78,"hepullhtuk yatta wallumbi"
79,"maatto khita domoomu"
80,"maatto khita deemi"
81,"maatto khita deembai"
82,"maatto khita deembi"
83,"chakaatto khita domoomu"
84,"chakaatto khita deemi"
85,"chakaatto khita deembai"
86,"chakaatto khita deembi"
87,"chakaatto yatta walchimi"
88,"chakaatto yatta wallumbi"
89,"chamarutto khita domoombu"
90,"chamarutto khita deemi"
91,"thamene khita nemu"
92,"thamene khita neaasccumu"
93,"thamene khita nembiasccimi"
94,"shaama yatta walchimi"
95,"shaama yatta wallumbi"
96,"bullhtuki khita walchimi"
97,"bullhtuki khita wallumbi"
98,"bullhtuki ita domoomu"
99,"bullhtuki ita deemi"
100,"gucxattinga khita domoomu"
101,"gucxattinga khita deemi"
102,"bullhtuki yatta walchimi"
103,"bullhtuki yatta wallumbi"
104,"thape khita domoomu"
105,"thape khita deemi"
106,"ccandurare yatta walchimi"
107,"ccandurare yatta wallumbi"
108,"angaro khita domoomu"
109,"angaro khita deemi"
110,"gogga shakar mayimi"
111,"momogga bo mayimi"
112,"momogga ne mayimi"
113,"Ja durdana cchel phat nete mel bota meyamba"
114,"Acxhan mani ka yasena ccheran"
115,"xakune baspur shei"
116,"Ja acxhan mani ka akhunng pindi ga ccheram"
117,"Xakune ishpit shechumbi"
118,"Acxhan mani ka sayila diyashchan"
119,"Guke hawaazing bicca filhal khaasxh"
120,"Baqi maya ka gaaning thum bo tai han shaaski hawaazan mishaaski ule dua ka te ka kaat kaat alag net etas dua"
121,"Xo ja ka un hola ccheran"
122,"Ja acxo ajo akhosh"
123,"Ja se xakun ajo cxham manumbi"
124,"Xapaxap guccharchumbai"
125,"ne halles ajo shum bai ne kaat gucchar be"
126,"jagga gute sahi laga mayundua"
127,"baqi guya ggan bo simba ka ja tegga hazir ba"
128,"lala bo hal dua shua ba"
129,"ja chacha nicchu paqo esarcham ma pareshan amamaning"
130,"nega bo senas dua gogga lloll duaa"
131,"Lay besa akhi guwayumba"
132,"Khai berozgaar hiren ja"
